Ground,Country,City,Matches,Home Wins,Away Wins,Other
Senwes Park,South Africa,Potchefstroom,21,42.86,4.76,52.38
Sharjah Cricket Stadium,United Arab Emirates,Sharjah,255,0.78,2.35,96.86
Sheikh Zayed Stadium,United Arab Emirates,Abu Dhabi,56,5.36,3.57,91.07
Shere Bangla National Stadium,Bangladesh,"Mirpur, Dhaka",128,42.97,42.19,14.84
Sinhalese Sports Club Ground,Sri Lanka,Colombo,61,39.34,18.03,42.62
Sir Vivian Richards Stadium,West Indies,"North Sound, Antigua",24,33.33,50,16.67
Sky Stadium,New Zealand,Wellington,32,53.13,34.38,12.5
St George's Park,South Africa,Port Elizabeth,43,51.16,30.23,18.6
SuperSport Park,South Africa,Centurion,60,45,28.33,26.67
Sydney Cricket Ground,Australia,Sydney,162,56.17,24.69,19.14
The Rose Bowl,England,Southampton,33,45.45,24.24,30.3
The Village,Ireland,Dublin,22,13.64,63.64,22.73
Trent Bridge,England,Nottingham,51,35.29,31.37,33.33
Tribhuvan University International Cricket Ground,Nepal,Kirtipur,37,51.35,24.32,24.32
United Cricket Club,Namibia,Windhoek,18,16.67,27.78,55.56
University Oval,New Zealand,Dunedin,12,83.33,0,16.67
Vidarbha Cricket Association Ground,India,Nagpur,14,42.86,42.86,14.29
Vidarbha Cricket Association Stadium,India,Nagpur,10,50,20,30
VRA Ground,Netherlands,Amstelveen,31,19.35,45.16,35.48
WACA Ground,Australia,Perth,80,36.25,21.25,42.5
Wanderers Cricket Ground,Namibia,Windhoek,23,39.13,26.09,34.78
Wanderers Stadium,South Africa,Johannesburg,55,54.55,21.82,23.64
Wankhede Stadium,India,Mumbai,28,46.43,32.14,21.43
Warner Park,West Indies,"Basseterre, St Kitts",21,38.1,28.57,33.33
Willowmoore Park,South Africa,Benoni,22,40.91,4.55,54.55
Zahur Ahmed Chowdhury Stadium,Bangladesh,Chittagong,31,61.29,38.71,0
