Player,Ct Fi,Inns,Team,Opposition,Ground,Match Date,Scorecard
BA King,2,1,West Indies,v Ireland,Dublin,21-May-25,ODI   4873
G Motie,2,1,West Indies,v Ireland,Dublin,21-May-25,ODI   4873
JB Little,2,2,Ireland,v West Indies,Dublin,21-May-25,ODI   4873
Aamir Kaleem,2,2,Oman,v U.S.A.,Lauderhill,21-May-25,ODI   4874
Hammad Mirza,2,2,Oman,v U.S.A.,Lauderhill,21-May-25,ODI   4874
PR Stirling,2,1,Ireland,v West Indies,Dublin,23-May-25,ODI   4875
Hammad Mirza,2,1,Oman,v Canada,Lauderhill,23-May-25,ODI   4876
NP Kenjige,2,2,U.S.A.,v Canada,Lauderhill,25-May-25,ODI   4878
RL Chase,2,1,West Indies,v England,Birmingham,29-May-25,ODI   4880
HC Brook,2,1,England,v West Indies,Cardiff,01-Jun-25,ODI   4881
FDW McCreath,2,2,Scotland,v Nepal,Dundee,02-Jun-25,ODI   4882
HG Munsey,2,2,Scotland,v Nepal,Dundee,02-Jun-25,ODI   4882
Aarif Sheikh,2,1,Nepal,v Netherlands,Dundee,04-Jun-25,ODI   4884
RK Paudel,2,1,Nepal,v Netherlands,Dundee,04-Jun-25,ODI   4884
AT Nidamanuru,2,1,Netherlands,v Scotland,Dundee,06-Jun-25,ODI   4885
DS Airee,2,1,Nepal,v Scotland,Dundee,08-Jun-25,ODI   4886
W Barresi,2,1,Netherlands,v Nepal,Dundee,10-Jun-25,ODI   4887
RK Paudel,2,2,Nepal,v Netherlands,Dundee,10-Jun-25,ODI   4887
MP O'Dowd,2,1,Netherlands,v Scotland,Dundee,12-Jun-25,ODI   4888
FDW McCreath,2,2,Scotland,v Netherlands,Dundee,12-Jun-25,ODI   4888
Shamim Hossain,2,1,Bangladesh,v Sri Lanka,Pallekele,08-Jul-25,ODI   4891
KNM Fernando,2,2,Sri Lanka,v Bangladesh,Pallekele,08-Jul-25,ODI   4891
Babar Azam,2,1,Pakistan,v West Indies,Tarouba,08-Aug-25,ODI   4892
G Motie,2,1,West Indies,v Pakistan,Tarouba,10-Aug-25,ODI   4893
G Motie,2,2,West Indies,v Pakistan,Tarouba,12-Aug-25,ODI   4894
C Green,2,1,Australia,v South Africa,Cairns,19-Aug-25,ODI   4895
C Green,2,2,Australia,v South Africa,Mackay,24-Aug-25,ODI   4897
M Labuschagne,2,2,Australia,v South Africa,Mackay,24-Aug-25,ODI   4897
Sikandar Raza,2,1,Zimbabwe,v Sri Lanka,Harare,29-Aug-25,ODI   4899
